"districtlea","district_name","county_name","shortage_status","retention_prepandemic_pct","retention_recent_pct","retention_change_pp"
"2303000","Greenbrier School District","Faulkner County","Not Shortage",88.1,81.2,-7
"2304000","Guy-Perkins Schools","Faulkner County","Not Shortage",80.2,79.1,-1.1
"2305000","Mayflower School District","Faulkner County","Not Shortage",80.9,79.4,-1.5
"2306000","Mount Vernon-Enola School District","Faulkner County","Not Shortage",85.7,84.6,-1.1
"2307000","Vilonia School District","Faulkner County","Not Shortage",87.9,82.3,-5.6
"2402000","Charleston School District","Franklin County","Not Shortage",91.2,87.3,-3.8
"2403000","County Line School District","Franklin County","Not Shortage",90,82.5,-7.5
"2404000","Ozark School District","Franklin County","Not Shortage",88.8,85.5,-3.4
"2501000","Mammoth Spring Schools","Fulton County","Not Shortage",89.1,84.7,-4.5
"2502000","Salem School District","Fulton County","Not Shortage",90.7,92.6,1.9
"2503000","Viola School District","Fulton County","Not Shortage",88.8,84.3,-4.5
"2601000","Cutter-Morning Star School District","Garland County","Not Shortage",78.1,69.8,-8.3
"2602000","Fountain Lake School District","Garland County","Not Shortage",83.5,77.3,-6.2
"2603000","Hot Springs School District","Garland County","Shortage",82.7,82.7,0
"2604000","Jessieville School District","Garland County","Not Shortage",77.8,81.2,3.4
"2605000","Lake Hamilton School District","Garland County","Not Shortage",90.4,88.2,-2.2
"2606000","Lakeside School District","Garland County","Not Shortage",86.9,87.2,0.3
"2607000","Mountain Pine School District","Garland County","Shortage",76.8,83.7,6.9
"2703000","Poyen School District","Grant County","Not Shortage",88.1,86.5,-1.6
"2705000","Sheridan School District","Grant County","Not Shortage",87.7,83.5,-4.2
"2803000","Marmaduke School District","Greene County","Not Shortage",89.8,85.4,-4.4
"2807000","Greene County Technical School District","Greene County","Not Shortage",91.4,87.2,-4.2
"2808000","Paragould School District","Greene County","Not Shortage",86,87.8,1.8
"2901000","Blevins School District","Hempstead County","Shortage",76.6,66.4,-10.2
"2903000","Hope School District","Hempstead County","Shortage",77.5,80.7,3.2
"2906000","Spring Hill School District","Hempstead County","Shortage",81.4,86.8,5.4
"3001000","Bismarck Public Schools","Hot Spring County","Not Shortage",86.4,86.2,-0.2
